title,soup
Ali,usa transporter boxer willsmith jamiefoxx jonvoight michaelmann drama
The Cat in the Hat,cat brothersisterrelationship boredom mikemyers dakotafanning spencerbreslin bowelch comedy fantasy family
"I, Robot",suicide artificialintelligence manvsmachine willsmith bridgetmoynahan alantudyk alexproyas action sciencefiction
Kingdom of Heaven,crusade epic knight orlandobloom evagreen jeremyirons ridleyscott drama action adventure
Stuart Little,brotherbrotherrelationship basedonnovel cat michaelj.fox geenadavis hughlaurie robminkoff animation fantasy family
The Princess and the Frog,basedonnovel voodoo kiss anikanonirose brunocampos keithdavid ronclements romance family animation
The Martian,basedonnovel mars nasa mattdamon jessicachastain kristenwiig ridleyscott drama adventure sciencefiction
The Island,clone transplantation loveofone'slife ewanmcgregor scarlettjohansson djimonhounsou michaelbay action thriller sciencefiction
Town & Country,architect cellist friends warrenbeatty dianekeaton goldiehawn peterchelsom comedy romance
Gone in Sixty Seconds,brotherbrotherrelationship detective carrace nicolascage angelinajolie giovanniribisi dominicsena action crime thriller
Gladiator,rome gladiator arena russellcrowe joaquinphoenix connienielsen ridleyscott action drama adventure
Minority Report,self-fulfillingprophecy washingtond.c. evidence tomcruise colinfarrell samanthamorton stevenspielberg action thriller sciencefiction
Harry Potter and the Chamber of Secrets,flyingcar witch magic danielradcliffe rupertgrint emmawatson chriscolumbus adventure fantasy family
Casino Royale,italy poker casino danielcraig evagreen madsmikkelsen martincampbell adventure action thriller
Planet of the Apes,gorilla spacemarine spacesuit markwahlberg timroth helenabonhamcarter timburton thriller sciencefiction action
Terminator 2: Judgment Day,cyborg shotgun post-apocalyptic arnoldschwarzenegger lindahamilton robertpatrick jamescameron action thriller sciencefiction
Public Enemies,cinema hidingplace machinegun christianbale johnnydepp giovanniribisi michaelmann history crime drama
American Gangster,underdog blackpeople drugtraffic denzelwashington russellcrowe chiwetelejiofor ridleyscott drama crime
True Lies,spy terrorist florida arnoldschwarzenegger jamieleecurtis tomarnold jamescameron action thriller
The Taking of Pelham 1 2 3,hostage newyorkcity newyorksubway denzelwashington johntravolta luisguzmán tonyscott thriller drama crime
Little Fockers,nurse cat father-in-law robertdeniro benstiller owenwilson paulweitz comedy romance
The Other Guys,narration ceo firetruck willferrell markwahlberg evamendes adammckay action comedy crime
Eraser,suicide ambush showdown arnoldschwarzenegger jamescaan vanessawilliams chuckrussell action drama mystery
Django Unchained,bountyhunter hero plantation jamiefoxx christophwaltz leonardodicaprio quentintarantino drama western
The Hunchback of Notre Dame,paris basedonnovel judge tomhulce demimoore tonyjay garytrousdale drama animation family
The Emperor's New Groove,centralandsouthamerica birthday emperor davidspade johngoodman earthakitt markdindal adventure animation comedy
The Expendables 2,airplane numberintitle airplanecrash sylvesterstallone jasonstatham dolphlundgren simonwest action adventure thriller
National Treasure,riddle treasure treasurehunt nicolascage dianekruger justinbartha jonturteltaub adventure action thriller
Eragon,basedonnovel mythicalcreature dragon edspeleers jeremyirons siennaguillory stefenfangmeier fantasy action adventure
Where the Wild Things Are,children'sbook igloo wolfcostume maxrecords catherinekeener laurenambrose spikejonze family fantasy
Epic,fantasy miniaturepeople joshhutcherson amandaseyfried colinfarrell chriswedge animation adventure family
The Tourist,paris hotel falseidentity johnnydepp angelinajolie paulbettany florianhenckelvondonnersmarck action thriller romance
End of Days,christianity sex newyear'seve arnoldschwarzenegger gabrielbyrne kevinpollak peterhyams action fantasy horror
Blood Diamond,rebel journalist journalism leonardodicaprio djimonhounsou jenniferconnelly edwardzwick drama thriller action
The Wolf of Wall Street,corruption sex sexuality leonardodicaprio jonahhill margotrobbie martinscorsese crime drama comedy
Batman Forever,riddle dccomics rose valkilmer tommyleejones jimcarrey joelschumacher action crime fantasy
Starship Troopers,moon asteroid spacemarine caspervandien dinameyer deniserichards paulverhoeven adventure action thriller
Cloud Atlas,clone future dystopia tomhanks halleberry jimbroadbent tomtykwer drama sciencefiction
Legend of the Guardians: The Owls of Ga'Hoole,owl emilybarclay abbiecornish essiedavis zacksnyder animation adventure family
Catwoman,whiterussian sex dccomics halleberry benjaminbratt sharonstone pitof action crime
Hercules,mercenary battle ancientgreece dwaynejohnson ianmcshane johnhurt brettratner action adventure
Treasure Planet,cyborg basedonnovel spacemarine josephgordon-levitt brianmurray davidhydepierce ronclements adventure animation family
Land of the Lost,alienlife-form dinosaur primate willferrell annafriel dannymcbride bradsilberling adventure comedy sciencefiction
The Expendables 3,cia armsdealer sequel sylvesterstallone jasonstatham harrisonford patrickhughes action adventure thriller
Point Break,undercover undercoveragent extremesports edgarramírez lukebracey teresapalmer ericsoncore action crime thriller
Son of the Mask,baby mask viking jamiekennedy alancumming traylorhoward lawrenceguterman fantasy comedy family
In the Heart of the Sea,suicide ocean sea chrishemsworth benjaminwalker cillianmurphy ronhoward thriller drama adventure
The Adventures of Pluto Nash,moon casino bar eddiemurphy randyquaid rosariodawson ronunderwood action comedy sciencefiction
Green Zone,weaponofmassdestruction baghdad iraqi  mattdamon gregkinnear brendangleeson paulgreengrass war action adventure
The Peanuts Movie,basedoncomicstrip family 3d noahschnapp billmelendez venusschultheis stevemartino animation
The Spanish Prisoner,dialogue confidence invention stevemartin campbellscott bengazzara davidmamet crime drama mystery
The Mummy Returns,son ancientegypt bracelet brendanfraser rachelweisz johnhannah stephensommers adventure action fantasy
Gangs of New York,fire irish-american immigrant leonardodicaprio danielday-lewis camerondiaz martinscorsese drama history crime
The Flowers of War,forcedprostitution childrape christianbale nini tongdawei zhangyimou drama history war
Surf's Up,sea worldcup surfer shialabeouf jeffbridges zooeydeschanel ashbrannon animation comedy family
The Stepford Wives,android housewife transformation nicolekidman matthewbroderick bettemidler frankoz action comedy sciencefiction
Black Hawk Down,prisonersofwar wound somalia joshhartnett ewanmcgregor jasonisaacs ridleyscott action history war
The Campaign,politics politician electioncampaign willferrell zachgalifianakis dylanmcdermott jayroach comedy
The Fifth Element,clone taxi cyborg brucewillis garyoldman ianholm lucbesson adventure fantasy action
Sex and the City 2, sarahjessicaparker kristindavis cynthianixon michaelpatrickking comedy drama romance
The Road to El Dorado,gold horse swordfight kennethbranagh kevinkline rosieperez donmichaelpaul adventure animation comedy
Ice Age: Continental Drift,bluefootedbooby prehistorictimes meltingice johnleguizamo rayromano chriswedge stevemartino animation comedy adventure
Cinderella,cinderella magic prince lilyjames cateblanchett richardmadden kennethbranagh romance fantasy family
The Lovely Bones,rape 1970s evidence rachelweisz markwahlberg susansarandon peterjackson fantasy drama
Finding Nemo,fathersonrelationship harbor underwater albertbrooks ellendegeneres alexandergould andrewstanton animation family
The Lord of the Rings: The Return of the King,elves orcs middle-earth(tolkien) elijahwood ianmckellen viggomortensen peterjackson adventure fantasy action
The Lord of the Rings: The Two Towers,elves orcs middle-earth(tolkien) elijahwood ianmckellen viggomortensen peterjackson adventure fantasy action
Seventh Son,magic chosenone darkfantasy jeffbridges juliannemoore benbarnes sergeibodrov adventure fantasy
Lara Croft: Tomb Raider,treasure buddhistmonk planetaryconfiguration angelinajolie jonvoight iainglen simonwest adventure fantasy action
Transcendence,artificialintelligence technology nanotechnology johnnydepp paulbettany rebeccahall wallypfister thriller sciencefiction drama
Jurassic Park III,exoticisland dna paleontology samneill williamh.macy téaleoni joejohnston adventure action thriller
Rise of the Planet of the Apes,intelligence zoo cage jamesfranco freidapinto johnlithgow rupertwyatt thriller action drama
The Spiderwick Chronicles,brothersisterrelationship familyrelationships singlemother freddiehighmore mary-louiseparker nicknolte markwaters adventure family fantasy
A Good Day to Die Hard,bomb cia russia brucewillis jaicourtney sebastiankoch johnmoore action thriller
The Alamo,texas officer uprising dennisquaid billybobthornton jasonpatric johnleehancock western history war
The Incredibles,secretidentity secret hero craigt.nelson hollyhunter samuell.jackson bradbird action adventure animation
Cutthroat Island,exoticisland treasure map geenadavis matthewmodine franklangella rennyharlin action adventure
Percy Jackson & the Olympians: The Lightning Thief,monster greekmythology god loganlerman brandont.jackson alexandradaddario chriscolumbus adventure fantasy family
Men in Black,secretidentity sunglasses undercover tommyleejones willsmith lindafiorentino barrysonnenfeld action adventure comedy
Toy Story 2,museum prosecution identitycrisis tomhanks timallen joancusack johnlasseter animation comedy family
Unstoppable,runawaytrain denzelwashington chrispine rosariodawson tonyscott action thriller
Rush Hour 2,duringcreditsstinger christucker jackiechan zhangziyi brettratner action comedy crime
What Lies Beneath,secret hauntedhouse ouijaboard harrisonford michellepfeiffer dianascarwid robertzemeckis drama horror mystery
Cloudy with a Chance of Meatballs,weather food science billhader annafaris jamescaan phillord animation comedy family
Ice Age: Dawn of the Dinosaurs,iceage bridge insanity rayromano johnleguizamo denisleary carlossaldanha animation comedy family
The Secret Life of Walter Mitty,himalaya photographer magazine benstiller kristenwiig pattonoswalt benstiller adventure comedy drama
Charlie's Angels,martialarts femalefriendship millionaire camerondiaz lucyliu drewbarrymore mcg action adventure comedy
The Departed,undercover boston police leonardodicaprio mattdamon jacknicholson martinscorsese drama thriller crime
Mulan,homeland musical training eddiemurphy jackiechan ming-nawen tonybancroft animation family adventure
Tropic Thunder,filmmaking satire jungle benstiller jackblack robertdowneyjr. benstiller action comedy
The Girl with the Dragon Tattoo,rape journalist basedonnovel danielcraig rooneymara christopherplummer davidfincher thriller crime mystery
Die Hard: With a Vengeance,bomb taxi riddle brucewillis jeremyirons samuell.jackson johnmctiernan action thriller
Sherlock Holmes,detective scotlandyard coffin robertdowneyjr. judelaw rachelmcadams guyritchie action adventure crime
Ben-Hur,betrayal vengeance jackhuston tobykebbell rodrigosantoro timurbekmambetov drama
Atlantis: The Lost Empire,sea atlantis animation michaelj.fox coreyburton claudiachristian garytrousdale animation family adventure
Alvin and the Chipmunks: The Road Chip,chipmunk cgi talkinganimal jasonlee justinlong bellathorne waltbecker adventure animation comedy
Valkyrie,berlin suicide bomb tomcruise caricevanhouten kennethbranagh bryansinger drama thriller history
You Don't Mess with the Zohan,newyork israel middleeast adamsandler johnturturro emmanuellechriqui dennisdugan comedy action
Pixels,videogame nerd alienattack adamsandler michellemonaghan peterdinklage chriscolumbus action comedy sciencefiction
A.I. Artificial Intelligence,artificialintelligence prophecy prostitute haleyjoelosment franceso'connor samrobards stevenspielberg drama sciencefiction adventure
The Haunted Mansion,secretpassage magic estateagent eddiemurphy terencestamp nathanielparker robminkoff thriller fantasy comedy
